Thread ID: 70308912647380
Fiber ID: 70308914915040
Total: 0.053679
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        9   Gherkin::Formatter::Argument#initialize 
  0.04      0.002     0.000     0.000     0.002        2   Gherkin::I18n#c 
  0.04      0.000     0.000     0.000     0.000        4   Cucumber::RbSupport::RbLanguage#register_rb_transform 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Runtime::SupportCode#log 
  0.04      0.000     0.000     0.000     0.000        7   <Class::Cucumber::RbSupport::RbStepDefinition>#parse_pattern 
  0.04      0.001     0.000     0.000     0.001        7   <Module::Cucumber::RbSupport::RbDsl>#register_rb_step_definition 
  0.04      0.000     0.000     0.000     0.000        2   Cucumber::Ast::Step#backtrace_line 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Formatter::Pretty#before_step 
  0.04      0.000     0.000     0.000     0.000        2   Gherkin::Formatter::Model::TagStatement#initialize 
  0.04      0.005     0.000     0.000     0.005        2   Cucumber::RbSupport::RbWorld#Transform 
  0.04      0.000     0.000     0.000     0.000       11   Gherkin::Parser::Parser::Machine::StateMachineReader#row 
  0.04      0.000     0.000     0.000     0.000        4   Time#initialize 
  0.04      0.000     0.000     0.000     0.000        4   Cucumber::RbSupport::RbDsl#Transform 
  0.04      0.000     0.000     0.000     0.000        1   Motivation::Motivator#initialize 
  0.04      0.000     0.000     0.000     0.000        6   Cucumber::Runtime::SupportCode#fire_hook 
  0.04      0.000     0.000     0.000     0.000        7   IO#flush 
  0.04      0.000     0.000     0.000     0.000        2   Cucumber::Runtime::ForProgrammingLanguages#load_programming_language 
  0.04      0.000     0.000     0.000     0.000        2   Cucumber::Formatter::Duration#format_duration 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Ast::StepInvocation#file_colon_line 
  0.03      0.000     0.000     0.000     0.000       13   String#empty? 
  0.03      0.001     0.000     0.000     0.001        1   Cucumber::Ast::StepInvocation#filter_backtrace 
  0.03      0.000     0.000     0.000     0.000        3   Cucumber::Runtime#after_step 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Console#print_exception 
  0.03      0.000     0.000     0.000     0.000        4   <Object::Object>#[] 
  0.03      0.000     0.000     0.000     0.000        7   Array#index 
  0.03      0.000     0.000     0.000     0.000        7   Cucumber::Ast::StepInvocation#keyword 
  0.03      0.000     0.000     0.000     0.000        2   String#each_line 
  0.03      0.000     0.000     0.000     0.000        7   Cucumber::Runtime#scenarios 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Console#print_profile_information 
  0.03      0.000     0.000     0.000     0.000        3   Cucumber::Runtime::FeaturesLoader#log 
  0.03      0.000     0.000     0.000     0.000       12   Exception#backtrace 
  0.03      0.000     0.000     0.000     0.000        7   Cucumber::LanguageSupport::LanguageMethods#invoked_step_definition_hash 
